dataset\model,test-clean_pnan,test-clean-db-160_pnan,test-clean-db-80_pnan,test-clean-db-40_pnan,test-clean-db-20_pnan,test-clean-db-10_pnan,test-clean-db-5_pnan,test-clean-db0_pnan
test-clean, 0.21, 0.20, 0.20, 0.10, 0.01, 0.06, 0.21, 0.01
test-clean-db-160, 0.21, 0.20, 0.21, 0.10, 0.00, 0.05, 0.21, 0.01
test-clean-db-80, 0.21, 0.20, 0.21, 0.11, 0.01, 0.06, 0.21, 0.02
test-clean-db-40, 0.21, 0.21, 0.21, 0.20, 0.16, 0.20, 0.21, 0.12
test-clean-db-20, 0.03, 0.00, 0.01, 0.03, 0.19, 0.20, 0.20, 0.13
test-clean-db-10, 0.00, 0.00, 0.00, 0.00, 0.01, 0.13, 0.18, 0.13
test-clean-db-5, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.13, 0.01
test-clean-db0, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.10
