dataset\model,test-clean_psan,test-clean-db-160_psan,test-clean-db-80_psan,test-clean-db-40_psan,test-clean-db-20_psan,test-clean-db-10_psan,test-clean-db-5_psan,test-clean-db0_psan,test-clean-db5_psan
test-clean, 0.00, 0.01, 0.01, 0.11, 0.20, 0.15, 0.00, 0.20, 0.21
test-clean-db-160, 0.00, 0.01, 0.01, 0.11, 0.21, 0.16, 0.00, 0.20, 0.21
test-clean-db-80, 0.00, 0.01, 0.00, 0.10, 0.20, 0.15, 0.00, 0.20, 0.21
test-clean-db-40, 0.00, 0.01, 0.00, 0.01, 0.05, 0.01, 0.00, 0.09, 0.21
test-clean-db-20, 0.18, 0.21, 0.20, 0.18, 0.02, 0.01, 0.01, 0.08, 0.21
test-clean-db-10, 0.21, 0.21, 0.21, 0.21, 0.20, 0.08, 0.03, 0.08, 0.21
test-clean-db-5, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.08, 0.20, 0.21
test-clean-db0, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.11, 0.20
test-clean-db5, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.21, 0.03, 0.09
